Time,accX1,accY1,accZ1,accX2,accY2,accZ2,wX1,wY1,wZ1,wX2,wY2,wZ2
15.54002,-0.899824649,0.0172956,-0.153903034,-0.117151133,-0.836548695,0.557256695,0.00319755,0.0042634,-0.518269539,1.525878906,-2.319335938,-2.807617188
15.550022,-0.886401562,0.007777369,-0.143408582,-0.117151133,-0.838013539,0.557989117,-0.032774884,-0.003996937,-0.491623253,1.525878906,-2.319335938,-2.807617188
15.56002,-0.884937219,-0.004913612,-0.147313494,-0.117151133,-0.836792836,0.556402203,-0.033041347,-0.059421133,-0.528128624,3.356933594,-2.380371094,-2.746582031
15.57002,-0.8946995,-0.008086356,-0.155611457,-0.116662852,-0.834229359,0.558477398,-0.02904441,-0.07993874,-0.540652335,3.356933594,-2.380371094,-2.746582031
15.58002,-0.901044983,-0.004425495,-0.161712883,-0.116540781,-0.834839711,0.55896568,-0.039436448,-0.070612557,-0.426606447,0.366210938,-2.197265625,-2.9296875
15.590021,-0.900800877,-0.014431845,-0.150730293,-0.116662852,-0.836060414,0.555669781,-0.029310873,-0.05249311,-0.323485464,0.366210938,-2.197265625,-2.9296875
15.60002,-0.895431623,-0.032492082,-0.147313494,-0.116662852,-0.836182484,0.556035992,-0.011990812,-0.097258806,-0.379975498,0,-2.258300781,-2.990722656
15.610021,-0.900068755,-0.032492082,-0.156831742,-0.11593043,-0.836060414,0.556646344,-0.007993874,-0.138826951,-0.468973964,-0.610351563,-2.136230469,-2.990722656
15.62,-0.906902351,-0.02346196,-0.158296085,-0.11593043,-0.837036977,0.554937359,-0.016787136,-0.144156188,-0.484695256,-0.061035156,-2.197265625,-2.990722656
15.63002,-0.899824649,-0.023950074,-0.149510008,-0.11593043,-0.836060414,0.555425641,-0.033041347,-0.136961713,-0.427139342,1.037597656,-2.258300781,-2.9296875
15.640001,-0.890550482,-0.037861343,-0.147069437,-0.116662852,-0.836914906,0.557012555,-0.041568145,-0.154548228,-0.392499238,1.281738281,-2.380371094,-2.807617188
15.65002,-0.892991053,-0.045915231,-0.143164525,-0.116662852,-0.836914906,0.557012555,-0.040768761,-0.179329246,-0.459914237,1.281738281,-2.380371094,-2.807617188
15.66003,-0.900068755,-0.041522198,-0.148533779,-0.116418711,-0.837159047,0.553594586,-0.018918836,-0.188388973,-0.527595699,-0.732421875,-2.075195313,-2.868652344
15.670022,-0.905438009,-0.042010312,-0.146581323,-0.116418711,-0.837159047,0.553594586,-0.015454824,-0.155614093,-0.472171485,-0.732421875,-2.075195313,-2.868652344
